epoch,global_step,learning_rate,train_loss,protein_output_head_l2,gaussian_output_projection_l2
0,2601,0.0001,0.3395730961072633,19.814250946044922,0.0
1,5202,9.938625865312251e-05,0.28333047481797285,19.779218673706055,0.0
2,7803,9.756177587652856e-05,0.2642926626918592,19.745792388916016,0.0
3,10404,9.4576318804292e-05,0.2568263873996436,19.721664428710938,0.0
4,13005,9.051132292283771e-05,0.25039834840533276,19.696449279785156,0.0
5,15606,8.547767072315835e-05,0.24412465108123846,19.678112030029297,0.0
6,18207,7.961266711550922e-05,0.23990733807520517,19.664461135864258,0.0
7,20808,7.307629410938363e-05,0.23668259735155087,19.65177345275879,0.0
8,23409,6.604684692133597e-05,0.23396497026733232,19.644351959228516,0.0
9,26010,5.8716070546254966e-05,0.23007045408101415,19.636028289794922,0.0
10,28611,5.128392945374505e-05,0.22495386858643682,19.632518768310547,0.0
11,31212,4.395315307866405e-05,0.22330307656442921,19.627914428710938,0.0
12,33813,3.692370589061639e-05,0.22109525171794234,19.623865127563477,0.0
13,36414,3.0387332884490805e-05,0.2172396370925522,19.624242782592773,0.0
14,39015,2.4522329276841663e-05,0.2141433934960765,19.62150001525879,0.0
15,41616,1.9488677077162295e-05,0.21182946472649664,19.62466049194336,0.0
16,44217,1.5423681195707997e-05,0.20698858057505026,19.623416900634766,0.0
17,46818,1.2438224123471442e-05,0.2061844225707924,19.622882843017578,0.0
18,49419,1.0613741346877497e-05,0.20460724412123088,19.623109817504883,0.0
19,52020,1e-05,0.19988359575206754,19.622230529785156,0.0
