panel,state,cases,direct_mean,official_mean,scratch_mean,direct_win_official,direct_win_scratch,delta_official,delta_official_ci_low,delta_official_ci_high,delta_scratch,delta_scratch_ci_low,delta_scratch_ci_high
bc30_holo_clean820,holo,814,0.8108303893880816,0.7674998135838098,0.7959156802757368,0.5737100737100738,0.5638820638820639,0.04333057580427193,0.029020291129607398,0.05878679474819776,0.01491470911234481,0.005680086314943706,0.024033663058316182
mmseq_holo_clean1000,holo,988,0.7914999168527233,0.7379615559610175,0.7769036582611409,0.6062753036437247,0.5657894736842105,0.053538360891705716,0.03835337136861022,0.06816586474190862,0.014596258591582313,0.005260346449322853,0.024422048045823277
mmseq_state_clean886,"af2,apo",874,0.7281149438629975,0.6769699349590648,0.7166816170569646,0.6407322654462243,0.580091533180778,0.05114500890393275,0.035503354008225005,0.06749939633968037,0.011433326806032987,0.0004965302615243057,0.02295427763365368
