dimension,stratum,cases,systems,clusters,length_median,positive_rate_median,direct_mean_aupr,official_mean_aupr,gpsfun_mean_aupr,scannet_mean_aupr,best_external_mean_aupr,direct_minus_best_external,direct_minus_official,direct_minus_gpsfun,direct_minus_scannet,direct_win_vs_best_external_rate,direct_unique_best_rate,direct_mean_margin_over_runner_up,bootstrap_ci_low,bootstrap_ci_high
difficult_x_length,<0.30/350-499,34,11,11,437.0,0.0732860520094562,0.3018229513335986,0.1301969411402244,0.09575984909837286,0.15137462313909686,0.17338188677076313,0.1284410645628355,0.17162601019337426,0.20606310223522575,0.15044832819450177,0.6470588235294118,0.6470588235294118,0.17683659431485188,-0.03852553762256017,0.30290561597687066
difficult_x_length,<0.30/<200,30,8,8,135.0,0.11136514798802791,0.13892473830653343,0.1121866202474499,0.1525438973825924,0.1833248802201098,0.19828080243637744,-0.05935606412984402,0.02673811805908353,-0.013619159076058977,-0.044400141913576364,0.16666666666666666,0.16666666666666666,-0.002771548955756848,-0.07053158618465273,-0.04011287099304324
difficult_x_length,<0.30/>=500,57,19,19,691.0,0.0546006066734074,0.25601563444148967,0.13518938930456437,0.11083210378638327,0.1556444807958647,0.17983105837487842,0.07618457606661126,0.1208262451369253,0.1451835306551064,0.10037115364562497,0.5964912280701754,0.5964912280701754,0.12772650586708673,0.025698755458759683,0.14554848034084428
difficult_x_positive_rate,0.30-0.50/0.10-0.20,57,22,22,296.0,0.1317494600431965,0.5755662493769861,0.3387830343993862,0.2746578362920563,0.3606574472304876,0.421252783910028,0.15431346546695798,0.23678321497759977,0.3009084130849296,0.21490880214649835,0.6666666666666666,0.6666666666666666,0.24896957278054813,0.06276976120119133,0.2359117264657274
difficult_x_positive_rate,0.30-0.50/0.20-0.30,13,6,6,125.0,0.216,0.5120014177941256,0.36451990015728913,0.3630948154109852,0.4080889080198688,0.45808695214364464,0.05391446565048087,0.14748151763683642,0.14890660238314046,0.10391250977425683,0.7692307692307693,0.7692307692307693,0.13300901671725013,-0.11213452690756491,0.17012199401424985
difficult_x_positive_rate,0.30-0.50/<0.10,98,34,34,510.0,0.07256483238456671,0.5410913139933208,0.29867300881949044,0.2651468581187919,0.33483238577371116,0.4136513177485215,0.12743999624479932,0.24241830517383028,0.27594445587452887,0.20625892821960964,0.6938775510204082,0.6938775510204082,0.24659604553847828,0.03855632705668403,0.21345783643128138
difficult_x_positive_rate,0.30-0.50/>=0.30,4,2,2,114.5,0.33345475149749065,0.324872962734651,0.34175950228784796,0.34054928834755743,0.3103645296120461,0.35882725477140565,-0.03395429203675464,-0.016886539553196918,-0.015676325612906383,0.014508433122604913,0.0,0.0,-0.015480365539769683,-0.037147161263076184,-0.030761422810433092
difficult_x_positive_rate,<0.30/0.10-0.20,26,10,10,208.0,0.14242788461538458,0.19524612206294092,0.17016648778498772,0.18574080695723177,0.22937983712721938,0.24301376258905164,-0.04776764052611072,0.025079634277953154,0.009505315105709093,-0.03413371506427849,0.15384615384615385,0.15384615384615385,0.002247057976656969,-0.08410943782612174,0.012174062281433865
difficult_x_positive_rate,<0.30/0.20-0.30,4,2,2,135.0,0.21100309323906313,0.20526709679891306,0.23569348993117556,0.2845056433017237,0.2585777293360137,0.2845056433017237,-0.07923854650281059,-0.030426393132262503,-0.07923854650281059,-0.05331063253710065,0.0,0.0,-0.05331063253710065,-0.1083450451674779,-0.05013204783814332
difficult_x_positive_rate,<0.30/<0.10,128,38,38,450.0,0.0625,0.2518949668314178,0.11960006534538165,0.11485060976252577,0.15713811823161966,0.1823023528964962,0.06959261393492164,0.1322949014860362,0.13704435706889206,0.09475684859979815,0.546875,0.546875,0.12588853261099814,0.013116658703993795,0.1392919751088526
