epoch,panel,pooled_aupr,pooled_auroc,case_mean_aupr,case_median_aupr,case_mean_auroc,precision_at_10,precision_at_20,num_cases
3,bc30_holo_clean820,0.7627461049777864,0.9345186063986026,0.7836954491846133,0.855530122177148,0.9257823814164962,0.8699017199017199,0.8102579852579852,814
3,mmseq_holo_clean1000,0.7409724081194846,0.9313152319237132,0.7634599036585713,0.8435545284526569,0.9226077012313249,0.8489878542510121,0.7947874493927125,988
3,mmseq_state_clean886,0.6913143537301576,0.9093454259062032,0.7053474996740874,0.7918133461655773,0.8926065405118667,0.7859267734553776,0.7406750572082381,874
4,bc30_holo_clean820,0.7810825876796839,0.9403805543145444,0.7986211134633275,0.8731694181478756,0.931404888202046,0.8862407862407864,0.8295454545454546,814
4,mmseq_holo_clean1000,0.762249908976848,0.9381451089712955,0.7758912828551375,0.8562006425951025,0.9278564009799848,0.8612348178137653,0.8093623481781377,988
4,mmseq_state_clean886,0.7134932749212942,0.9178658635566124,0.7196102998999805,0.8099379751115755,0.8978949890820552,0.7989702517162472,0.7514302059496567,874
5,bc30_holo_clean820,0.7798578263242837,0.940984057313352,0.7968347382943047,0.8682865806246269,0.9318012753816832,0.8816953316953318,0.8267199017199016,814
5,mmseq_holo_clean1000,0.7598749796505425,0.938684171727758,0.7738487630627032,0.8526612388263539,0.928765290032008,0.8559716599190283,0.807085020242915,988
5,mmseq_state_clean886,0.7057770000162611,0.9158901075715088,0.7194532642177365,0.8147210545049786,0.8970437054620909,0.8024027459954233,0.752745995423341,874
6,bc30_holo_clean820,0.7813049739083943,0.9427206389511432,0.7971357265845567,0.8741823481942932,0.9316838630694804,0.8757985257985258,0.8196560196560198,814
6,mmseq_holo_clean1000,0.760670439069333,0.9408138794612284,0.776272182547661,0.8591312929550585,0.929329932207808,0.8579959514170041,0.8034412955465586,988
6,mmseq_state_clean886,0.7139002192959139,0.9192189361558952,0.7246636133939763,0.8220755338429055,0.898861305141619,0.8018306636155608,0.7565217391304349,874
7,bc30_holo_clean820,0.7971956930334925,0.94619257413336,0.8058449336244767,0.8813320554706144,0.9359250940960836,0.8824324324324324,0.831941031941032,814
7,mmseq_holo_clean1000,0.7779620476436924,0.944603294195929,0.7870179457316113,0.8632936656678296,0.9338709062752248,0.8633603238866396,0.817155870445344,988
7,mmseq_state_clean886,0.7214534726257342,0.9221207955427576,0.732679642914662,0.8226540138025515,0.9007706478028732,0.8137299771167048,0.7649313501144164,874
8,bc30_holo_clean820,0.8006529671431001,0.9481445586357822,0.809484677002028,0.8858935843198985,0.938080929653276,0.8864864864864865,0.8342137592137592,814
8,mmseq_holo_clean1000,0.7816503279876498,0.9458358248869124,0.7889675108622709,0.8687277157653195,0.9348840902363452,0.8651821862348178,0.8179149797570849,988
8,mmseq_state_clean886,0.7276503912360927,0.9230203822138991,0.7334922678630709,0.8256918729229047,0.9006820152432471,0.812929061784897,0.7645881006864989,874
9,bc30_holo_clean820,0.7990266813413485,0.9473828347303724,0.8121168439805234,0.8804346043544422,0.9383843400722868,0.8927518427518428,0.8380835380835382,814
9,mmseq_holo_clean1000,0.7805266425497,0.9452559461569308,0.7904086892804488,0.8674887472425641,0.9358213872007138,0.870748987854251,0.8195344129554656,988
9,mmseq_state_clean886,0.7219346237623278,0.9211596132338528,0.7271987644539962,0.8181419102351696,0.901781023795554,0.8060640732265446,0.758466819221968,874
10,bc30_holo_clean820,0.8018728856947948,0.9474042048679756,0.809042844762234,0.8895338182147099,0.9369821362666796,0.8828009828009828,0.832862407862408,814
10,mmseq_holo_clean1000,0.7839172459386707,0.9459820944545904,0.7913525036516569,0.8733336452756493,0.9354655384945676,0.8663967611336032,0.8184716599190284,988
10,mmseq_state_clean886,0.7242445007392417,0.9214299320564142,0.7258744173294411,0.8258199322176228,0.897907758755597,0.8035469107551487,0.7600686498855834,874
11,bc30_holo_clean820,0.8081498853072984,0.9498620538489584,0.8108303893880816,0.8881661509322177,0.9384403160299664,0.8896805896805897,0.8368550368550369,814
11,mmseq_holo_clean1000,0.7909256374113212,0.9479438403338238,0.7914999168527233,0.8734860276976446,0.9357168034746202,0.8708502024291499,0.8209514170040485,988
11,mmseq_state_clean886,0.7273399009607493,0.9232257800895306,0.7281149438629975,0.8294914527011066,0.8975404671732806,0.8045766590389016,0.7606979405034324,874
13,bc30_holo_clean820,0.7970825366087111,0.9460020008449308,0.8024445772906605,0.8832439723884572,0.9336499511129586,0.8761670761670762,0.8256756756756757,814
13,mmseq_holo_clean1000,0.780439700968346,0.9454273276489358,0.785467123828395,0.8681502759292583,0.932675280793594,0.8601214574898786,0.812753036437247,988
13,mmseq_state_clean886,0.7172501128900051,0.9197520024890558,0.7164721426190096,0.8160162461464096,0.893065895980962,0.7863844393592677,0.7459382151029749,874
14,bc30_holo_clean820,0.7957078626501065,0.9465674513322108,0.8059051332823258,0.8876512416850719,0.9358571847356932,0.8786240786240785,0.8281941031941034,814
14,mmseq_holo_clean1000,0.7770902050250479,0.9448993102157524,0.7860736013939849,0.8692340653423112,0.933496143875523,0.8611336032388663,0.8122975708502024,988
14,mmseq_state_clean886,0.7207170259593729,0.9215267729451304,0.724422714901898,0.8239998071159891,0.8973698692977906,0.799771167048055,0.7548054919908468,874
15,bc30_holo_clean820,0.7891968630762844,0.943676602969158,0.7997833009393438,0.8785016521901857,0.9323428709227632,0.8757985257985259,0.8225429975429975,814
15,mmseq_holo_clean1000,0.7727578145551071,0.9427351446231874,0.7823513837444137,0.8666000798989326,0.9308911464080852,0.8593117408906883,0.8094129554655871,988
15,mmseq_state_clean886,0.7165869350975562,0.9194237196318372,0.7183796473285285,0.8089149891783741,0.8932575264907979,0.7922196796338674,0.7499427917620137,874
16,bc30_holo_clean820,0.7974152447746402,0.9453972600206978,0.8053022496055335,0.8867548321505387,0.934238958278,0.8780098280098281,0.8256142506142505,814
16,mmseq_holo_clean1000,0.7797106900123605,0.9442511014731196,0.7858347896557337,0.8656554660535382,0.9324190699348393,0.8610323886639677,0.8102732793522267,988
16,mmseq_state_clean886,0.718387104617862,0.9205806566744232,0.7226002272888372,0.8155704353251942,0.8955040937828386,0.7931350114416477,0.7553775743707094,874
17,bc30_holo_clean820,0.7871477708192262,0.942946701357226,0.7976073466433299,0.8823993914569697,0.9326069023763288,0.872972972972973,0.8183660933660935,814
17,mmseq_holo_clean1000,0.7691995934192836,0.94163430970191,0.7801359042043049,0.8611968103859985,0.9304480057673508,0.85668016194332,0.8060222672064777,988
17,mmseq_state_clean886,0.7143617722487665,0.9191962981201856,0.7170198774654379,0.8086237436197147,0.8945082592849014,0.7930205949656751,0.7497139588100686,874
18,mmseq_holo_clean1000,0.770157026373133,0.942144979499883,0.7796742518525913,0.8636264897117754,0.9310150894923669,0.8538461538461539,0.8071356275303644,988
18,mmseq_state_clean886,0.7109164930025818,0.9185560742524672,0.7175076441821797,0.8003235763920584,0.8925601983990874,0.795766590389016,0.7490274599542334,874
18,bc30_holo_clean820,0.7880949662033974,0.9429565221649769,0.7981753984255416,0.8771433994156506,0.9326765537352734,0.8723587223587224,0.8202702702702703,814
19,mmseq_holo_clean1000,0.7628115613831693,0.9399882067548202,0.7729297578348026,0.8542911774801689,0.9283472946034858,0.8497975708502026,0.7996963562753037,988
19,mmseq_state_clean886,0.7054745177196708,0.916848351221438,0.7063313404686137,0.7980390472833214,0.8895136244277471,0.7806636155606407,0.7383867276887871,874
19,bc30_holo_clean820,0.7814364379971648,0.9410132121725934,0.7901967722947813,0.8687028946969582,0.9299752274728785,0.8651105651105652,0.8114864864864865,814
